구분번호,대통령,글제목,연설일자,원문보기,연설장소
1305445,박정희,제1회 수출의 날 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264145200041452013419.PDF,국내
1305408,박정희,[방독(訪獨)] 연방수상(聯邦首相)이 베푸는 오찬회(午餐會)에서의 인사(人事),1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141500041415013382.PDF,국제
1305415,박정희,[방독]바바리아 주지사가 베푼 오찬회에서의 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142200041422013389.PDF,국제
1305463,박정희,서울대학교(大學校) 졸업식(卒業式) 치사(致辭),1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147000041470013437.PDF,국내
1305471,박정희,제42회 어린이날 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147800041478013445.PDF,국내
1305428,박정희,환율제도 개혁에 관한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143500041435013402.PDF,국내
1305454,박정희,1964년도 국방대학원 졸업식 유시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264146100041461013428.PDF,국내
1305455,박정희,제16회 국군의 날 훈시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264146200041462013429.PDF,국내
1305376,박정희,지방장관회의 유시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138300041383013350.PDF,국내
1305457,박정희,UN군 장병에게 보내는 크리스마스 메시지(1),1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264145300041453013420.PDF,국내
1305458,박정희,1963년도 향군 연차총회 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264146500041465013432.PDF,국내
1305495,박정희,제18회 올림픽 참가선수단 귀국에 즈음한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150200041502013469.PDF,국내
1305370,박정희,신년 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264137700041377013344.PDF,국내
1305385,박정희,정치범 석방에 관한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139200041392013359.PDF,국내
