구분번호,대통령,글제목,연설일자,원문보기,연설장소
1310489,이승만,"특경대(特警隊)는 폐지하라, 특위 체포 못한다 ",1949-02-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002400040024011991.PDF,국내
1310490,이승만,정당한 공론이 필요 ,1949-02-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002500040025011992.PDF,국내
1310491,이승만,국토방위에 분골쇄신(粉骨碎身)하자 ,1949-02-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002600040026011993.PDF,국내
1310492,이승만,일본 재무장설(再武裝說)에 대하여 ,1949-02-26,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002700040027011994.PDF,국내
1310494,이승만,국가 민족을 수호하라 ,1949-03-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002900040029011996.PDF,국내
1310493,이승만,기미독립운동 정신 ,1949-03-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264002800040028011995.PDF,국내
1310495,이승만,납세와 국민 ,1949-03-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003000040030011997.PDF,국내
1310496,이승만,대서양동맹(大西洋同盟)에 기대함 ,1949-03-23,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003100040031011998.PDF,국내
1310497,이승만,태평양동맹,1949-03-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003200040032011999.PDF,국내
1310498,이승만,새와 짐승을 사랑하자 ,1949-03-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003300040033012000.PDF,국내
1310499,이승만,나무를 심그고 사랑하자 ,1949-04-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003400040034012001.PDF,국내
1310500,이승만,애국애족정신으로 나무를 애호하자 ,1949-04-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003500040035012002.PDF,국내
1310501,이승만,"관민합력으로 경제개량, 신년도 예산안을 국회에 회부코 ",1949-04-13,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003600040036012003.PDF,국내
1310503,이승만,반민(反民) 특경대는 해산 ,1949-04-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003800040038012005.PDF,국내
1310502,이승만,"감위(監委)의 직제개정(職制改正), 파면권(罷免權)은 정지 ",1949-04-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003700040037012004.PDF,국내
1310504,이승만,미군의 철퇴를 토의 중 ,1949-04-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264003900040039012006.PDF,국내
1310505,이승만,"북벌 아닌 통일달성, 중국 사태에 우려 무용(無用) ",1949-04-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004000040040012007.PDF,국내
1310506,이승만,어린이날에 대하여 ,1949-05-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004100040041012008.PDF,국내
1310507,이승만,국회 제1회 정기회의 폐회식 치사(致辭) ,1949-05-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004200040042012009.PDF,국내
1310508,이승만,38선 사태에 대하여 ,1949-05-06,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004300040043012010.PDF,국내
1310509,이승만,5·10선거 제1주년을 맞이하여,1949-05-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004400040044012011.PDF,국내
1310510,이승만,역사적 의의 깊은 민족의 날! 5.10 선거 ,1949-05-11,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004500040045012012.PDF,국내
1310511,이승만,목포(木浦) 중유발전소(重油發電所) 준공식에 치사 ,1949-06-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004600040046012013.PDF,국내
1310512,이승만,미국 온정에 영원히 감사하자 ,1949-06-09,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004700040047012014.PDF,국내
1310513,이승만,"입법, 행정부 대립은 부당, 상호협조하자 ",1949-06-14,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004800040048012015.PDF,국내
1310514,이승만,애국자 윤병구 목사 ,1949-06-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264004900040049012016.PDF,국내
1310515,이승만,김구 선생 급서에 통탄불금 ,1949-06-28,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005000040050012017.PDF,국내
1310516,이승만,최근 사건에 관하여 ,1949-07-02,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005100040051012018.PDF,국내
1310517,이승만,"임시제도로 성안(成案), 자치법 공포(公布)에 대하여 ",1949-07-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264005200040052012019.PDF,국내
